,Hokkaido,Osaka,Tokushima,Nagasaki,Niigata,Hyogo,Ishikawa,Nagano,Tottori,Gunma,Oita,Saitama,Toyama,Akita,Wakayama,Kochi,Miyagi,Tokyo,Kanagawa,Fukuoka,Yamanashi,Aichi,Iwate,Unknown,Okayama,Nara,Mie,Kagawa,Miyazaki,Aomori,Shizuoka,Yamagata,Kumamoto,Hiroshima,Yamaguchi,Tochigi,Kagoshima,Chiba,Saga,Gifu,Okinawa,Shimane,Fukui,Ehime,Kyoto,Shiga,Fukushima,Ibaraki
2019-07-03 02:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2019-07-03 03:00:00,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2019-07-03 04:00:00,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,4,0,1,0,1,1,0
2019-07-03 05:00:00,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,1,4,2,1,1,1,0,0,0,0,0,0,3,3,1,0,3,1,1,0,2,1,1,1,0,0,0,0,1,1,0,1
2019-07-03 06:00:00,1,5,0,4,0,3,0,2,0,2,1,1,0,0,2,0,0,9,6,1,1,4,0,0,1,3,1,0,5,0,5,1,10,2,3,0,4,2,0,2,2,0,0,0,4,1,1,3
2019-07-03 07:00:00,5,13,0,6,1,5,0,4,0,0,1,5,1,1,1,0,0,15,7,7,2,9,3,0,1,2,3,0,10,0,2,0,4,5,1,1,9,6,3,4,2,2,0,2,2,1,1,3
2019-07-03 08:00:00,4,8,0,4,0,2,1,2,0,1,6,4,0,0,0,2,1,11,5,14,3,5,0,0,0,3,4,2,3,1,2,1,10,7,1,0,9,3,2,0,2,1,1,1,1,0,1,3
2019-07-03 09:00:00,1,17,0,3,0,5,0,3,0,0,1,1,1,0,0,0,0,13,4,10,0,4,0,2,1,2,1,0,4,0,4,1,5,0,3,2,4,6,3,0,3,0,1,1,1,0,1,0
2019-07-03 10:00:00,1,5,0,3,0,5,0,4,4,2,0,3,1,0,0,2,0,13,3,12,0,7,0,0,1,1,1,0,3,0,6,1,8,1,2,2,10,1,0,1,2,4,2,3,2,0,0,0
2019-07-03 11:00:00,5,10,0,2,0,2,0,3,0,0,5,6,1,0,0,2,1,7,5,12,2,4,0,0,0,0,1,0,3,0,3,0,4,6,2,1,11,2,1,0,0,0,0,1,1,1,1,2
2019-07-03 12:00:00,3,8,1,7,1,4,1,3,0,2,0,4,1,2,0,0,0,17,8,6,0,8,2,0,1,1,1,2,8,0,7,0,8,4,3,1,15,2,1,0,3,0,1,3,4,1,2,0
2019-07-03 13:00:00,2,2,1,5,0,4,0,3,0,0,0,4,0,1,2,1,4,10,4,5,0,5,0,0,1,1,0,0,4,0,0,0,1,6,1,0,15,0,2,0,0,0,0,0,1,1,1,2
2019-07-03 14:00:00,5,7,1,0,0,3,0,0,0,2,2,2,0,0,1,1,2,9,6,4,0,1,1,0,0,0,0,1,4,0,1,0,8,2,2,0,7,2,3,1,1,1,0,3,0,1,1,1
2019-07-03 15:00:00,1,11,0,3,0,3,0,3,0,3,1,3,0,0,0,1,0,17,6,8,2,3,1,0,2,0,1,1,8,0,1,0,5,8,1,1,6,1,3,2,0,1,0,1,3,0,1,1
2019-07-03 16:00:00,4,13,1,2,1,6,0,1,1,0,1,3,0,0,0,0,0,33,3,4,1,15,0,0,1,1,0,2,5,0,4,0,2,2,2,1,6,6,4,2,0,2,0,4,6,0,0,0
2019-07-03 17:00:00,0,22,1,6,0,9,0,1,0,0,0,9,0,1,1,1,1,19,7,8,0,11,0,2,2,3,1,1,4,0,9,0,4,7,2,0,9,6,1,5,1,0,0,2,1,2,6,0
2019-07-03 18:00:00,0,29,3,3,1,15,0,2,2,3,0,9,3,0,1,2,1,18,6,5,0,16,0,0,4,2,4,3,3,0,10,0,5,3,0,2,19,11,1,4,0,1,2,1,3,1,0,3
